Time, GPU Index, Temp C, GPU %, Memory %
2016-11-21 18:57:12.015000,GPU0,35,7,8
2016-11-21 18:57:14.018000,GPU0,35,7,7
2016-11-21 18:57:16.023000,GPU0,35,7,8
2016-11-21 18:57:18.026000,GPU0,35,10,9
2016-11-21 18:57:20.030000,GPU0,35,5,7
2016-11-21 18:57:22.035000,GPU0,35,5,7
2016-11-21 18:57:24.038000,GPU0,35,4,7
2016-11-21 18:57:26.041000,GPU0,35,7,7
2016-11-21 18:57:28.046000,GPU0,35,7,8
2016-11-21 18:57:30.051000,GPU0,35,6,7
2016-11-21 18:57:32.056000,GPU0,35,7,8
2016-11-21 18:57:34.060000,GPU0,35,4,7
2016-11-21 18:57:36.065000,GPU0,35,4,7
2016-11-21 18:57:38.069000,GPU0,35,4,6
2016-11-21 18:57:40.073000,GPU0,35,6,7
2016-11-21 18:57:42.078000,GPU0,35,6,7
2016-11-21 18:57:44.082000,GPU0,35,6,7
2016-11-21 18:57:46.085000,GPU0,35,7,8
2016-11-21 18:57:48.089000,GPU0,35,4,7
2016-11-21 18:57:50.092000,GPU0,35,4,7
2016-11-21 18:57:52.096000,GPU0,35,4,7
2016-11-21 18:57:54.100000,GPU0,34,6,7
2016-11-21 18:57:56.105000,GPU0,34,7,7
2016-11-21 18:57:58.109000,GPU0,35,7,8
2016-11-21 18:58:00.113000,GPU0,35,7,8
2016-11-21 18:58:02.118000,GPU0,35,4,7
2016-11-21 18:58:04.122000,GPU0,35,4,7
2016-11-21 18:58:06.126000,GPU0,35,5,7
2016-11-21 18:58:08.130000,GPU0,34,7,7
2016-11-21 18:58:10.134000,GPU0,35,7,7
2016-11-21 18:58:12.138000,GPU0,35,14,9
2016-11-21 18:58:14.142000,GPU0,35,7,8
2016-11-21 18:58:16.144000,GPU0,35,4,7
2016-11-21 18:58:18.148000,GPU0,34,5,7
2016-11-21 18:58:20.152000,GPU0,35,4,7
2016-11-21 18:58:22.156000,GPU0,35,6,7
2016-11-21 18:58:24.161000,GPU0,35,7,8
2016-11-21 18:58:26.166000,GPU0,34,6,7
2016-11-21 18:58:28.169000,GPU0,34,7,8
2016-11-21 18:58:30.174000,GPU0,34,4,7
2016-11-21 18:58:32.179000,GPU0,34,4,6
2016-11-21 18:58:34.183000,GPU0,34,5,7
2016-11-21 18:58:36.187000,GPU0,35,6,7
2016-11-21 18:58:38.193000,GPU0,34,7,7
2016-11-21 18:58:40.201000,GPU0,34,7,7
2016-11-21 18:58:42.204000,GPU0,35,7,8
2016-11-21 18:58:44.208000,GPU0,35,5,7
2016-11-21 18:58:46.213000,GPU0,34,5,7
2016-11-21 18:58:48.217000,GPU0,34,6,7
2016-11-21 18:58:50.222000,GPU0,34,7,8
2016-11-21 18:58:52.225000,GPU0,34,7,8
2016-11-21 18:58:54.229000,GPU0,34,7,7
2016-11-21 18:58:56.233000,GPU0,34,7,8
2016-11-21 18:58:58.237000,GPU0,34,5,7
2016-11-21 18:59:00.241000,GPU0,34,4,7
2016-11-21 18:59:02.245000,GPU0,34,4,7
2016-11-21 18:59:04.248000,GPU0,34,7,8
2016-11-21 18:59:06.252000,GPU0,34,7,7
2016-11-21 18:59:08.257000,GPU0,34,8,8
2016-11-21 18:59:10.262000,GPU0,34,7,8
2016-11-21 18:59:12.265000,GPU0,34,4,7
2016-11-21 18:59:14.268000,GPU0,34,4,7
2016-11-21 18:59:16.272000,GPU0,34,4,6
2016-11-21 18:59:18.276000,GPU0,34,9,8
2016-11-21 18:59:20.281000,GPU0,34,7,7
2016-11-21 18:59:22.286000,GPU0,34,6,7
2016-11-21 18:59:24.290000,GPU0,34,6,8
2016-11-21 18:59:26.295000,GPU0,34,5,7
2016-11-21 18:59:28.300000,GPU0,34,7,8
2016-11-21 18:59:30.305000,GPU0,34,4,7
2016-11-21 18:59:32.309000,GPU0,34,6,7
2016-11-21 18:59:34.313000,GPU0,34,6,7
2016-11-21 18:59:36.317000,GPU0,34,6,7
2016-11-21 18:59:38.321000,GPU0,34,11,10
2016-11-21 18:59:40.326000,GPU0,34,5,7
2016-11-21 18:59:42.330000,GPU0,34,4,7
2016-11-21 18:59:44.334000,GPU0,34,4,7
2016-11-21 18:59:46.337000,GPU0,34,7,7
2016-11-21 18:59:48.342000,GPU0,34,12,9
2016-11-21 18:59:50.345000,GPU0,34,6,7
2016-11-21 18:59:52.348000,GPU0,34,7,8
2016-11-21 18:59:54.352000,GPU0,34,4,7
2016-11-21 18:59:56.357000,GPU0,34,4,7
2016-11-21 18:59:58.361000,GPU0,34,9,8
2016-11-21 19:00:00.366000,GPU0,34,6,7
2016-11-21 19:00:02.370000,GPU0,34,6,7
2016-11-21 19:00:04.373000,GPU0,34,6,7
2016-11-21 19:00:06.378000,GPU0,34,6,8
2016-11-21 19:00:08.383000,GPU0,34,9,8
2016-11-21 19:00:10.387000,GPU0,34,4,7
2016-11-21 19:00:12.392000,GPU0,34,5,7
2016-11-21 19:00:14.397000,GPU0,34,7,7
2016-11-21 19:00:16.402000,GPU0,34,6,7
2016-11-21 19:00:18.405000,GPU0,34,13,9
2016-11-21 19:00:20.410000,GPU0,34,7,8
2016-11-21 19:00:22.414000,GPU0,34,4,7
2016-11-21 19:00:24.417000,GPU0,34,5,7
2016-11-21 19:00:26.421000,GPU0,34,4,7
2016-11-21 19:00:28.425000,GPU0,34,9,8
2016-11-21 19:00:30.429000,GPU0,34,6,7
2016-11-21 19:00:32.433000,GPU0,34,7,8
2016-11-21 19:00:34.438000,GPU0,34,6,7
2016-11-21 19:00:36.443000,GPU0,34,4,7
2016-11-21 19:00:38.446000,GPU0,34,8,8
2016-11-21 19:00:40.450000,GPU0,35,4,7
2016-11-21 19:00:42.455000,GPU0,34,8,9
2016-11-21 19:00:44.458000,GPU0,34,6,7
2016-11-21 19:00:46.476000,GPU0,34,6,7
2016-11-21 19:00:48.481000,GPU0,34,11,8
2016-11-21 19:00:50.484000,GPU0,34,4,7
2016-11-21 19:00:52.489000,GPU0,34,7,9
2016-11-21 19:00:54.494000,GPU0,34,4,6
2016-11-21 19:00:56.499000,GPU0,34,6,7
2016-11-21 19:00:58.508000,GPU0,34,13,9
2016-11-21 19:01:00.512000,GPU0,34,7,7
2016-11-21 19:01:02.517000,GPU0,34,8,9
2016-11-21 19:01:04.522000,GPU0,34,4,6
2016-11-21 19:01:06.525000,GPU0,34,4,6
2016-11-21 19:01:08.529000,GPU0,35,8,7
2016-11-21 19:01:10.532000,GPU0,34,5,7
2016-11-21 19:01:12.536000,GPU0,34,12,10
2016-11-21 19:01:14.540000,GPU0,34,5,7
2016-11-21 19:01:16.544000,GPU0,34,3,6
2016-11-21 19:01:18.548000,GPU0,34,6,7
2016-11-21 19:01:20.552000,GPU0,34,4,7
2016-11-21 19:01:22.555000,GPU0,34,10,11
2016-11-21 19:01:24.559000,GPU0,34,6,7
2016-11-21 19:01:26.564000,GPU0,34,6,7
2016-11-21 19:01:28.571000,GPU0,34,11,9
2016-11-21 19:01:30.576000,GPU0,35,4,6
2016-11-21 19:01:32.582000,GPU0,34,12,12
2016-11-21 19:01:34.584000,GPU0,34,4,6
2016-11-21 19:01:36.590000,GPU0,34,3,6
2016-11-21 19:01:38.595000,GPU0,34,10,8
2016-11-21 19:01:40.599000,GPU0,34,6,7
2016-11-21 19:01:42.602000,GPU0,34,16,13
2016-11-21 19:01:44.606000,GPU0,34,4,7
2016-11-21 19:01:46.610000,GPU0,34,3,6
2016-11-21 19:01:48.615000,GPU0,34,7,7
2016-11-21 19:01:50.630000,GPU0,34,3,6
2016-11-21 19:01:52.636000,GPU0,34,18,14
2016-11-21 19:01:54.642000,GPU0,34,5,7
2016-11-21 19:01:56.646000,GPU0,34,6,7
2016-11-21 19:01:58.652000,GPU0,34,8,7
2016-11-21 19:02:00.657000,GPU0,34,4,7
2016-11-21 19:02:02.663000,GPU0,34,15,13
